state	state_label	index	n	mean	median
1	state_03	OAP	75	432.163878810744	444.052918782162
1	state_03	MGI	75	-13.1255887740972	-13.8155105579643
1	state_03	MFI	75	-0.173843241999962	0
1	state_03	DCI	75	-1.83645381100378	-1.80741536630061
1	state_03	MII	75	-2.52673849363374	-2.53596939210915
1	state_03	SRPI	75	-0.788770266486346	-0.788814536889874
2	state_05	OAP	51	280.976985648183	310.611708523415
2	state_05	MGI	51	-13.6402366088094	-13.8155105579643
2	state_05	MFI	51	-0.0021729656404659	0
2	state_05	DCI	51	-3.46566629448224	-1.74760647564405
2	state_05	MII	51	-2.42200151524262	-2.46633641548604
2	state_05	SRPI	51	-0.552688432833322	-0.519826704493726
3	state_01	OAP	32	409.416134309049	421.632027882878
3	state_01	MGI	32	-6.92998964667968	-5.27043588876512
3	state_01	MFI	32	-2.14520426796561	-2.74576021176476
3	state_01	DCI	32	-1.90612261450248	-1.67291244291459
3	state_01	MII	32	-2.29782702663076	-2.47135989152957
3	state_01	SRPI	32	-0.724296330433133	-0.758516108555186
4	state_02	OAP	43	385.098032186387	384.838540741302
4	state_02	MGI	43	-13.6174418986578	-13.8155105579643
4	state_02	MFI	43	0.423926009677497	0
4	state_02	DCI	43	-1.58224560170654	-1.50894504204895
4	state_02	MII	43	-2.6183659968729	-2.66657099235614
4	state_02	SRPI	43	-0.651693270774293	-0.637459380824394
5	state_04	OAP	13	455.750832894109	454.440604555781
5	state_04	MGI	13	-13.8155105579643	-13.8155105579643
5	state_04	MFI	13	0.420505965673432	0
5	state_04	DCI	13	-2.21096126480127	-1.86146486316911
5	state_04	MII	13	-3.02453526224213	-3.0889314517774
5	state_04	SRPI	13	-0.789494082022625	-0.834723862103118
