module	index	n	mean	median
leiden1	OAP	209	513.404959588324	555.234673470536
leiden2	OAP	213	580.909767589484	582.436413038394
leiden3	OAP	214	448.987589687756	452.864786388547
leiden4	OAP	214	367.811994300405	375.569776139916
grey	OAP	188	420.475916773158	529.846146888568
leiden5	OAP	208	236.872659881771	277.782460158155
leiden6	OAP	155	532.361224945089	524.280579926786
leiden1	MGI	209	-13.22603020205	-13.8155105579643
leiden2	MGI	213	-13.8155105579643	-13.8155105579643
leiden3	MGI	214	-13.8155105579643	-13.8155105579643
leiden4	MGI	214	-13.8155105579643	-13.8155105579643
grey	MGI	191	-13.7390104787812	-13.8155105579643
leiden5	MGI	208	-12.2379955974426	-13.8155105579643
leiden6	MGI	160	-13.8155105579643	-13.8155105579643
leiden1	MFI	209	-0.589480355914352	0
leiden2	MFI	213	0	0
leiden3	MFI	214	0	0
leiden4	MFI	214	0	0
grey	MFI	191	-0.0728710410767497	0
leiden5	MFI	208	0.214572966195511	0
leiden6	MFI	160	0	0
leiden1	DCI	209	-3.12802196552811	-1.56040578350969
leiden2	DCI	213	-1.22583637771972	-0.42793353008796
leiden3	DCI	214	-2.51750583372395	-0.790323611040127
leiden4	DCI	214	-2.62852511579953	-2.00195824737243
grey	DCI	191	-3.32408069991947	0
leiden5	DCI	208	-6.28998848583715	-4.03710434340021
leiden6	DCI	160	-4.41380471480454	-2.30728995622758
leiden1	MII	209	-2.80766999046528	-2.1097623098302
leiden2	MII	213	-2.81039195300618	-2.61160967312465
leiden3	MII	214	-2.69802693470008	-2.32422457649114
leiden4	MII	214	-3.07687629824853	-2.85216675393359
grey	MII	191	-3.7542391148772	-1.67336435817985
leiden5	MII	208	-3.52480308910756	-2.12893711547423
leiden6	MII	160	-3.11691946884396	-1.0259379012682
leiden1	SRPI	209	-1.09728272448906	-0.877896885714492
leiden2	SRPI	213	-1.07164050886385	-0.941898244655725
leiden3	SRPI	214	-0.378148963862475	-0.26171420231762
leiden4	SRPI	214	-0.757872479556311	-0.768798448231302
grey	SRPI	191	-1.47337651564505	-0.64069565767749
leiden5	SRPI	208	-0.510490158305404	-0.270179264344813
leiden6	SRPI	160	-4.19155051331214	-1.91387263065342
